Property Id,Property Name,Year Ending,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu)
22740715,Storage Garage,12/31/2021,4018330215,4610290,127-92 Garage Willets Point Boulevard,Corona,11368,1,50,1133.3,1150.8,33,2266600.5,2301611.1,337.3,3173.2,3222.3,92.3,6346481.4,6444511.1,2266600.5,664302.5,674563.6,664302.6,2266600.5
22740717,Main Building,12/31/2021,4018330215,4437277,129-02 Northern Blvd,Corona,11368,76,50,23.4,23,39.6,1683037.7,1654564.6,6.4,63.7,62.5,108.1,4592805.4,4504128.7,1614637.7,473223.2,463378.9,473223.2,1614637.6
22740722,Tenant Shop,12/31/2021,4018330215,4437275 ; 4437276,127-90 Willets Point Boulevard,Corona,11368,Not Available,50,42.4,43.9,39.1,805552.2,834009,10.2,105.1,107.1,96.9,1996721.2,2034211.2,657652.2,192746.8,194021.4,192746.8,657652.1
6671482,Renaissance Realty - 493 Lincoln Place,12/31/2021,3011780083,3029612,493 Lincoln Place,Brooklyn,11238,100,50,17.5,16.9,41,466241.7,450979,5,49,47.4,114.7,1305476.8,1262741.2,466241.7,136647.6,132174.4,136647.6,466241.6
6671491,Renaissance Realty - 487 Lincoln Place,12/31/2021,3011780087,3029613,487 Lincoln Place,Brooklyn,11238,3,50,170.9,Not Available,108.1,4606987.9,Not Available,4.9,209.8,Not Available,132.7,5653467.4,Not Available,466360.1,136682.3,133175.5,136682.3,466360
6292389,ZARA - 88-15 144 St LLC,12/31/2021,4-09686-0010,4206966,88-15 144th Street,Queens,11435,82,50,81.4,84.4,103.8,3059636.6,3175560.5,4,109.8,112.8,140.1,4129857.4,4241566.6,524136.5,153615.6,151939,153615.6,524136.4
6671522,Renaissance Realty - 285 Schenectady Ave,12/31/2021,3-01396-0001,3037542,285 Schenectady Ave,Brooklyn,11213,100,50,12.6,12.3,40.4,452875.7,441889.7,3.6,35.2,34.4,113,1268051.8,1237291.2,452875.7,132730.2,129510.5,132730.3,452875.8
4403046,Ocean Empire: 75 Ocean Ave,12/31/2021,3-05024-0006,3114553,75 Ocean Ave,Brooklyn,11225,94,50,68.6,73.1,105.2,5486801.1,5846608.3,3.6,94.1,97.9,144.4,7529167.3,7835643,1010300.7,296102.2,284157.4,296102.2,1010300.7
4481066,Carousel: 201 WEST 75 STREET,12/31/2021,1-01167-0029,1030841,201 WEST 75 STREET,New York,10023,Not Available,50,99.8,99.8,Not Available,5358735.7,5358735.7,10.2,165.9,165.9,Not Available,8910713.8,8910713.8,1876595,549998.5,549998.5,549998.5,1876594.9
4572312,Pi Capital Partners: 136-18 39th Ave,12/31/2021,4-04980-0011,4112492,136-18 39th Ave,Flushing,11354,Not Available,50,66.9,69.9,43,6082668.4,6360222.5,17.5,171.5,178.1,110.4,15595707.9,16199933.8,5262232.1,1542271.8,1594657.3,1542272,5262232.1
